Strain_parent,Strain_mutant,SRR_parent,SRR_mutant
DA62886,DA78723,SRR30883933,SRR28351034
DA62946,DA78740,SRR30884111,SRR28350997
DA63038,DA78776,SRR30884047,SRR28351010
DA63040,DA78780,SRR30884046,SRR28351009
DA63144,DA78815,SRR30883801,SRR28351005
DA63160,DA78828,SRR30883792,SRR28351003
DA63164,DA78832,SRR30883916,SRR28351002
DA63252,DA78860,SRR30883791,SRR28350995
DA63266,DA78872,SRR30883784,SRR28350992
DA63330,DA78880,SRR30884133,SRR30655789
DA63382,DA78916,SRR30883774,SRR28350983
DA63694,DA78986,SRR30884227,SRR30655803
DA63862,DA79038,SRR30884092,SRR28351025
DA63884,DA79046,SRR30884080,SRR28351023
DA64004,DA79022,SRR30883964,SRR28351013
DA63122,DA78803,SRR30883922,SRR28351032
DA63366,DA78908,SRR30884020,SRR28350984
DA63890,DA79053,SRR30883981,SRR28351021
DA62920,DA78736,SRR30884030,SRR28351033
DA63012,DA78768,SRR30884060,SRR28351017
DA63182,DA78839,SRR30883906,SRR28351000
DA63210,DA78852,SRR30884149,SRR28350996
DA63334,DA78884,SRR30884132,SRR28350990
DA63360,DA78900,SRR30884024,SRR28350987
DA63656,DA78966,SRR30884010,SRR28350982
DA63672,DA78974,SRR30884001,SRR30655794
DA63784,DA79013,SRR30883990,SRR30655799
DA63790,DA79018,SRR30883988,SRR28351030
DA63826,DA79026,SRR30884204,SRR28351027
DA63842,DA79034,SRR30883847,SRR30655798
DA63888,DA79050,SRR30884078,SRR28351022
DA63896,DA79058,SRR30883977,SRR28351020
DA63914,DA79062,SRR30883968,SRR28351019
DA63922,DA79066,SRR30884198,SRR28351018
DA63958,DA79082,SRR30883831,SRR28351015
DA63964,DA79086,SRR30883828,SRR28351014
DA63780,DA79008,SRR30883992,SRR30655801
DA63940,DA79078,SRR30884188,SRR28351016
DA64006,DA78990,SRR30883963,SRR28351012
DA63362,DA78904,SRR30884023,SRR28350985
DA63322,DA78876,SRR30884137,SRR28350991
DA63146,DA78820,SRR30883800,SRR30655791
DA63254,DA78864,SRR30883790,SRR28350994
DA63690,DA78982,SRR30884230,SRR28350980
DA63752,DA78998,SRR30884102,SRR28350979
DA63772,DA79002,SRR30883997,SRR30655802
DA63828,DA79030,SRR30884203,SRR28351026
DA63870,DA79042,SRR30884088,SRR28351024
DA64024,DA78970,SRR30883953,SRR28351011
DA62954,DA78742,SRR30883858,SRR28350986
DA63150,DA78824,SRR30883797,SRR28351004
DA63202,DA78848,SRR30884151,SRR28350998
DA62958,DA78750,SRR30883996,SRR28351028
DA63046,DA78784,SRR30883947,SRR28351008
DA63106,DA78800,SRR30883929,SRR28351006
DA63186,DA78844,SRR30883904,SRR28350999
DA63776,DA79006,SRR30883994,SRR28351031
DA62998,DA78760,SRR30883814,SRR30655805
DA63072,DA78792,SRR30883934,SRR30655793
DA63138,DA78812,SRR30883804,SRR28351007
DA63180,DA78836,SRR30883907,SRR28351001
DA63934,DA79073,SRR30884192,SRR30655797
DA64002,DA79010,SRR30883965,SRR30655800
DA63342,DA78887,SRR30884128,SRR28350989
DA63814,DA79009,SRR30884211,SRR28351029
DA62978,DA78755,SRR30884075,SRR30655806
DA63030,DA78771,SRR30884052,SRR30655795
DA63214,DA78855,SRR30884146,SRR30655790
DA63594,DA78958,SRR30883883,SRR30655804
DA63350,DA78896,SRR30884029,SRR28350988
DA63002,DA78764,SRR30883812,SRR30655796
DA63082,DA78794,SRR30884165,SRR30655792
