"strain","resistance","UMAP1","UMAP2","UMAP3","prediction"
"DA62886","HR",-7.881019115448,-2.20281720161438,6.62253999710083,"COR"
"DA62888","nonHR",-7.30798292160034,-0.649029016494751,5.40200567245483,"COR"
"DA62890","nonHR",-8.72874164581299,-1.50442945957184,4.83203315734863,"COR"
"DA62892","nonHR",12.7414836883545,3.11625957489014,-1.53892576694489,"COR"
"DA62894","nonHR",-7.61511611938477,-2.46129512786865,4.96962594985962,"COR"
"DA62896","nonHR",-6.88902187347412,-2.82772731781006,5.80501937866211,"COR"
"DA62898","nonHR",-8.68404674530029,-0.790814757347107,5.96289777755737,"COR"
"DA62900","nonHR",14.2466459274292,-4.47022294998169,-3.96650314331055,"COR"
"DA62902","nonHR",-4.60055303573608,-2.62097191810608,1.49621653556824,"COR"
"DA62904","nonHR",-9.91539859771729,-0.929974317550659,5.47314214706421,"COR"
"DA62906","nonHR",13.7558431625366,-5.0448637008667,-3.76622700691223,"COR"
"DA62908","nonHR",-7.25115823745728,-0.742664337158203,5.07219123840332,"COR"
"DA62914","nonHR",13.9363641738892,-4.58119535446167,-4.51589345932007,"COR"
"DA62916","nonHR",12.2044219970703,-4.30895614624023,-3.36899495124817,"COR"
"DA62918","nonHR",-7.77874422073364,-1.97491240501404,6.04415655136108,"COR"
"DA62920","HR",-7.60845327377319,-3.19178485870361,4.7304105758667,"COR"
"DA62922","nonHR",13.7495956420898,2.65503025054932,-1.46388757228851,"COR"
"DA62924","nonHR",13.6010618209839,3.50491952896118,-1.62744772434235,"COR"
"DA62926","nonHR",13.9412031173706,-4.26782941818237,-4.4281120300293,"COR"
"DA62928","nonHR",13.0447111129761,-3.95769166946411,-3.98207020759583,"COR"
"DA62932","nonHR",-8.80115413665771,-1.16735196113586,6.62606811523438,"COR"
"DA62934","nonHR",13.2604598999023,-3.83215022087097,-3.75838351249695,"COR"
"DA62936","nonHR",-8.752366065979,-1.26371586322784,6.51387405395508,"COR"
"DA62938","nonHR",-6.81515598297119,-2.83092927932739,5.52867698669434,"COR"
"DA62940","nonHR",14.0838212966919,-4.61672878265381,-4.49869251251221,"COR"
"DA62942","nonHR",-9.48092842102051,-1.51194703578949,5.6897668838501,"COR"
"DA62944","nonHR",-9.18234729766846,-2.19637680053711,6.36999988555908,"COR"
"DA62946","HR",-1.64012897014618,8.9370698928833,-8.9595947265625,"COR"
"DA62948","nonHR",-5.27778816223145,-1.47140109539032,1.18902242183685,"COR"
"DA62950","nonHR",-9.95548057556152,-0.84141343832016,5.25831365585327,"COR"
"DA62952","nonHR",13.256233215332,-3.99309253692627,-4.1866717338562,"COR"
"DA62954","HR",-7.74932384490967,-1.7578216791153,4.45543241500854,"COR"
"DA62956","nonHR",-5.88058519363403,-1.81097042560577,1.37494552135468,"FP"
"DA62958","HR",0.893664538860321,6.7496452331543,-6.17740488052368,"COR"
"DA62960","nonHR",-6.92820882797241,-2.90221548080444,5.48893928527832,"COR"
"DA62962","nonHR",13.0879144668579,-5.82548379898071,-4.14273262023926,"COR"
"DA62964","nonHR",13.9900970458984,2.83252429962158,-2.14478516578674,"COR"
"DA62966","nonHR",-8.74820995330811,-2.00989246368408,5.0179500579834,"COR"
"DA62968","nonHR",-9.60363960266113,-1.08706676959991,6.54104423522949,"COR"
"DA62972","nonHR",-9.14734077453613,-2.5874650478363,5.84324884414673,"COR"
"DA62976","nonHR",-7.55244255065918,-2.67555093765259,4.75480127334595,"COR"
"DA62978","HR",-2.06020569801331,9.40966606140137,-9.78528308868408,"COR"
"DA62980","nonHR",13.7092218399048,-4.4634838104248,-4.52998542785645,"COR"
"DA62982","nonHR",-9.05740451812744,-2.61070322990417,5.70847129821777,"COR"
"DA62984","nonHR",-5.68879175186157,-2.05295133590698,1.19076693058014,"COR"
"DA62986","nonHR",-8.62406253814697,-1.54528176784515,6.05434131622314,"COR"
"DA62990","nonHR",-9.55707168579102,-0.901971042156219,5.38874197006226,"COR"
"DA62992","nonHR",-9.88683795928955,-0.998027086257935,5.16154813766479,"COR"
"DA62994","nonHR",-5.91978216171265,-1.73538506031036,1.23614931106567,"COR"
"DA62996","nonHR",-7.36267375946045,-0.765242516994476,4.9179892539978,"COR"
"DA62998","HR",-5.9982271194458,-1.50479817390442,1.5523989200592,"COR"
"DA63000","nonHR",-9.18811798095703,-2.1684582233429,5.50019931793213,"COR"
"DA63002","HR",13.3717966079712,-3.66323089599609,-3.41943311691284,"COR"
"DA63006","nonHR",-7.40151834487915,-2.92786288261414,6.67412233352661,"COR"
"DA63010","nonHR",-7.33729457855225,-0.857206344604492,5.17441844940186,"COR"
"DA63012","HR",-1.86127388477325,10.1913061141968,-9.05060291290283,"COR"
"DA63014","nonHR",-9.79987239837646,-0.966128468513489,5.42965698242188,"COR"
"DA63016","nonHR",-8.93669319152832,-1.69421482086182,4.99568748474121,"COR"
"DA63020","nonHR",-7.03667640686035,-1.34387636184692,5.0558705329895,"COR"
"DA63022","nonHR",-7.09920215606689,-3.09670376777649,5.03269195556641,"COR"
"DA63024","nonHR",-9.20908355712891,-2.47253465652466,5.79931449890137,"COR"
"DA63026","nonHR",-5.93988275527954,-1.74555349349976,1.28691649436951,"COR"
