"strain","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","APH3","trimethoprim.resistant.dihydrofolate.reductase.dfr","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr"
"DA62886",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA62888",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62890",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62892",1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA62894",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62896",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62898",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62900",0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62902",1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA62904",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62906",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA62908",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62910",2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA62912",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62914",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62916",1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA62918",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA62920",4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
