"strain" "tot_plasmids"
"DA62886" 4
"DA62888" 0
"DA62890" 53
"DA62892" 56
"DA62894" 50
"DA62896" 8
"DA62898" 9
"DA62902" 70
"DA62904" 2
"DA62910" 7
"DA62918" 1
"DA62920" 7
"DA62922" 39
"DA62924" 1
"DA62932" 0
"DA62936" 0
"DA62944" 0
"DA62946" 58
"DA62948" 12
"DA62950" 12
"DA62954" 2
"DA62956" 40
"DA62958" 50
"DA62964" 2
"DA62966" 1
"DA62968" 14
"DA62974" 0
"DA62978" 10
"DA62982" 0
"DA62984" 1
"DA62988" 1
"DA62990" 1
"DA62992" 52
"DA62994" 2
"DA62996" 11
"DA62998" 157
"DA63006" 0
"DA63008" 5
"DA63010" 27
"DA63012" 18
"DA63014" 1
"DA63020" 1
"DA63022" 4
"DA63026" 34
"DA63028" 1
"DA63030" 22
"DA63032" 6
"DA63036" 10
"DA63038" 1
"DA63040" 5
"DA63042" 0
"DA63044" 2
"DA63046" 25
"DA63048" 28
"DA63050" 61
"DA63052" 29
"DA63054" 1
"DA63056" 78
"DA63058" 22
"DA63060" 7
"DA63064" 19
"DA63066" 72
"DA63072" 29
"DA63074" 16
"DA63084" 1
"DA63088" 9
"DA63090" 8
"DA63094" 2
"DA63098" 2
"DA63100" 1
"DA63102" 2
"DA63106" 15
"DA63110" 0
"DA63112" 10
"DA63114" 2
"DA63116" 18
"DA63120" 14
"DA63122" 61
"DA63126" 34
"DA63130" 8
"DA63138" 1
"DA63142" 1
"DA63150" 1
"DA63152" 4
"DA63158" 10
"DA63160" 85
"DA63162" 3
"DA63168" 1
"DA63172" 42
"DA63178" 61
"DA63182" 15
"DA63186" 12
"DA63188" 20
"DA63192" 2
"DA63194" 2
"DA63204" 1
"DA63210" 5
"DA63212" 16
"DA63218" 2
"DA63220" 1
"DA63222" 20
"DA63224" 0
"DA63226" 2
"DA63228" 1
"DA63240" 2
"DA63242" 0
"DA63248" 2
"DA63250" 7
"DA63252" 3
"DA63254" 0
"DA63256" 3
"DA63258" 0
"DA63262" 1
"DA63264" 74
"DA63266" 18
"DA63268" 8
"DA63270" 2
"DA63272" 0
"DA63276" 0
"DA63288" 3
"DA63290" 6
"DA63296" 3
"DA63298" 1
"DA63300" 21
"DA63306" 24
"DA63312" 14
"DA63314" 6
"DA63316" 1
"DA63322" 1
"DA63324" 1
"DA63328" 51
"DA63336" 2
"DA63340" 18
"DA63346" 0
"DA63348" 0
"DA63350" 12
"DA63352" 5
"DA63358" 1
"DA63360" 21
"DA63362" 1
"DA63366" 6
"DA63368" 20
"DA63374" 12
"DA63378" 56
