"n.beta.lac.plasmid","n.beta.lac.chrom","strain","chrom.status","coverage","read.max.len","n.c.plasmids","n.plasmids","n.beta.lac","nc.beta.lac.plasmid","n.rep.chrom","n.rep.plasmid","n.rep.total","n.rep.tot.cen","n.rep.cen.chrom","n.rep.cen.plasmid","n.rep.100.chrom","n.rep.100.plasmid","n.rep.100.total","n.rep.100.cen.chrom","n.rep.100.cen.plasmid","n.rep.100.cen.tot","n.rep.500.chrom","n.rep.500.plasmid","n.rep.500.total","n.rep.500.cen.chrom","n.rep.500.cen.plasmid","n.rep.500.cen.tot","rep.tot.cen","med.tot.rep.len.chrom","med.tot.rep.len.plasmid","med.tot.rep.len","med.rep.len.chrom","med.rep.len.plasmid","med.rep.len","max.rep.len.chrom","max.rep.len.plasmid","max.rep.len","max.rep.len.cen.chrom","max.rep.len.cen.plasmid","max.rep.len.cen","med.AR.len.chrom","med.AR.len.plasmid","med.AR.len","med.AR.len.cen.chrom","med.AR.len.cen.plasmid","med.AR.len.cen","min.AR.len.cen.chrom","min.AR.len.cen.plasmid","min.AR.len.cen","n.rep.chrom.ampC","n.rep.plasmid.ampC","med.AR.len.chrom.ampC","med.AR.len.plasmid.ampC","med.AR.len.ampC","med.rep.len.chrom.ampC","med.rep.len.plasmid.ampC","med.rep.len.ampC","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","trimethoprim.resistant.dihydrofolate.reductase.dfr","APH3","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr","n.TEM.1","n.TEM.207","n.rep.chrom.CTX","n.rep.plasmid.CTX","med.AR.len.chrom.CTX","med.AR.len.plasmid.CTX","med.AR.len.CTX","med.rep.len.chrom.CTX","med.rep.len.plasmid.CTX","med.rep.len.CTX","n.rep.chrom.TEM","n.rep.plasmid.TEM","med.AR.len.chrom.TEM","med.AR.len.plasmid.TEM","med.AR.len.TEM","med.rep.len.chrom.TEM","med.rep.len.plasmid.TEM","med.rep.len.TEM","no.x","n.rep.plasmid.SHV","med.AR.len.plasmid.SHV","med.AR.len.SHV","no.y","med.rep.len.plasmid.SHV","med.rep.len.SHV","n.is.fam","max.is.len","IS1","IS110","IS200/IS605","IS21","IS256","IS3","IS4","IS481","IS630","IS66","IS91","ISAS1","ISL3","ISNCY","IS5","IS6","IS30","IS1380","IS1182","ISKRA4","n.is.tot","min_distance_is_gene","n.interrupted.genes"
3,0,"DA62886","circular",27.3421644365278,82629,4,1,3,3,1,22,23,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,174,174,0,23,23,-Inf,86,86,0,33,33,0,9990.5,9990.5,0,88579,88579,0,37573,37573,0,22,0,9990.5,9990.5,0,23,23,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14,1939,2,4,6,4,4,26,5,1,2,4,3,20,3,6,0,0,0,0,0,0,90,24344,NA
0,2,"DA62888","circular",48.5386013462685,98048,0,0,2,0,42,0,42,7,7,0,13,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,99,0,99,39,0,39,205,0,205,35,0,35,346,0,346,41186,0,41186,31250,0,31250,42,0,346,0,346,39,0,39,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1864,9,6,3,2,0,20,2,0,1,1,0,2,1,12,0,0,0,0,0,0,59,16339,0
0,2,"DA62890","circular",104.561753734979,118862,51,5,2,0,36,0,36,6,6,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,83,0,83,32,0,32,156,0,156,35,0,35,41971.5,0,41971.5,41138,0,41138,31247,0,31247,36,0,41971.5,0,41971.5,32,0,32,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1941,3,1,14,1,0,12,2,0,2,0,0,6,0,17,0,0,0,0,0,0,58,47630,0
0,4,"DA62892","circular",140.932276534625,109805,56,6,4,0,47,0,47,24,24,0,12,0,12,8,0,8,8,0,8,5,0,5,9,1667.5,0,1667.5,52,0,52,2306,0,2306,2306,0,2306,44409,0,44409,160668.5,0,160668.5,6049,0,6049,35,0,98030,0,98030,50,0,50,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,12,0,1828.5,0,1828.5,441,0,441,NA,NA,NA,NA,NA,NA,NA,11,2000,4,3,6,3,0,86,48,0,0,0,10,0,7,12,1,40,0,0,0,0,220,423.5,NA
0,3,"DA62894","circular",81.5534979985267,135204,18,4,3,0,177,0,177,58,58,0,20,0,20,13,0,13,6,0,6,4,0,4,4,1557,0,1557,33,0,33,2622,0,2622,2622,0,2622,24896,0,24896,120392,0,120392,22790,0,22790,177,0,24896,0,24896,33,0,33,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1996,56,2,1,22,0,30,38,3,0,6,0,14,2,14,0,0,0,0,0,0,188,20319.5,0
0,3,"DA62896","circular",81.2392201074988,126895,0,0,3,0,119,0,119,26,26,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,100,0,100,26,0,26,144,0,144,38,0,38,545,0,545,159023.5,0,159023.5,31121,0,31121,119,0,545,0,545,26,0,26,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1996,1,0,9,7,1,14,1,0,0,3,0,0,0,14,1,0,0,0,0,0,51,49872,NA
3,-1,"DA62898","circular",79.6554971332354,134700,9,2,2,3,0,26,26,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,109,109,0,32,32,0,88,88,0,35,35,0,9989.5,9989.5,0,66634,66634,0,31236,31236,0,26,0,9989.5,9989.5,0,32,32,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1855,8,0,2,17,0,37,2,0,0,4,0,2,2,13,0,0,0,0,0,0,87,16341,0
5,-3,"DA62900","circular",93.3803311882944,108845,14,3,2,5,0,21,21,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,93,93,0,26,26,0,86,86,0,35,35,0,31247,31247,0,41186,41186,0,31247,31247,0,21,0,31247,31247,0,26,26,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1961,5,8,9,14,0,12,17,0,2,3,0,6,1,13,0,0,0,0,0,0,90,17524.5,NA
4,0,"DA62902","circular",158.91750889652,131757,3,2,4,NA,116,44,160,36,29,7,6,6,12,NA,NA,NA,3,1,4,NA,NA,NA,8,187,191,189,32,40,36,1058,823,1058,37,41,41,35283.5,11835,18497.5,127032,43000,104621.5,22790,31127,22790,116,0,35283.5,0,35283.5,32,0,32,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,44,0,11835,11835,0,40,40,NA,NA,NA,NA,NA,NA,NA,14,1972,29,21,1,2,0,72,42,3,0,12,10,7,0,12,54,25,2,0,0,0,292,2527.5,0
0,1,"DA62904","circular",92.9168778575076,109063,2,1,1,0,8,0,8,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,78,0,78,26,0,26,36,0,36,26,0,26,24327,0,24327,45950,0,45950,42429,0,42429,8,0,24327,0,24327,26,0,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1898,0,3,9,14,0,5,1,1,0,2,0,4,2,14,2,0,1,0,0,0,58,96068,NA
