"strain","chrom.status","coverage","read.max.len","n.c.plasmids","n.beta.lac.4","n.plasmids","n.beta.lac","n.beta.lac.plasmid","n.beta.lac.chrom","min.dist.oriC.chrom","min.dist.oriC.plasmid","min.dist.oriC","med.dist.oriC.chrom","med.dist.oriC.plasmid","med.dist.oriC","n.beta.lac.plus.chrom","n.beta.lac.plus.plasmid","nc.beta.lac.plus.plasmid","n.beta.lac.plus","nc.beta.lac.plus","nc.beta.lac.plasmid","n.rep.chrom","n.rep.plasmid","n.rep.total","n.rep.tot.cen","n.rep.cen.chrom","n.rep.cen.plasmid","n.rep.100.chrom","n.rep.100.plasmid","n.rep.100.total","n.rep.100.cen.chrom","n.rep.100.cen.plasmid","n.rep.100.cen.tot","n.rep.500.chrom","n.rep.500.plasmid","n.rep.500.total","n.rep.500.cen.chrom","n.rep.500.cen.plasmid","n.rep.500.cen.tot","rep.in","med.tot.rep.len.chrom","med.tot.rep.len.plasmid","med.tot.rep.len","med.rep.len.chrom","med.rep.len.plasmid","med.rep.len","max.rep.len.chrom","max.rep.len.plasmid","max.rep.len","max.rep.len.cen.chrom","max.rep.len.cen.plasmid","max.rep.len.cen","med.AR.len.chrom","med.AR.len.plasmid","med.AR.len","med.AR.len.cen.chrom","med.AR.len.cen.plasmid","med.AR.len.cen","min.AR.len.cen.chrom","min.AR.len.cen.plasmid","min.AR.len.cen","n.rep.chrom.ampC","n.rep.plasmid.ampC","med.AR.len.chrom.ampC","med.AR.len.plasmid.ampC","med.AR.len.ampC","med.rep.len.chrom.ampC","med.rep.len.plasmid.ampC","med.rep.len.ampC","ampC.type.beta.lactamase","TEM.beta.lactamase","sulfonamide.resistant.sul","trimethoprim.resistant.dihydrofolate.reductase.dfr","APH3","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","OXA.beta.lactamase","AAC6.Ib.cr","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH4","DHA.beta.lactamase","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr","n.TEM.1","n.TEM.210","n.TEM.148","n.TEM.37","n.rep.chrom.CTX","n.rep.plasmid.CTX","med.AR.len.chrom.CTX","med.AR.len.plasmid.CTX","med.AR.len.CTX","med.rep.len.chrom.CTX","med.rep.len.plasmid.CTX","med.rep.len.CTX","n.rep.chrom.TEM","n.rep.plasmid.TEM","med.AR.len.chrom.TEM","med.AR.len.plasmid.TEM","med.AR.len.TEM","med.rep.len.chrom.TEM","med.rep.len.plasmid.TEM","med.rep.len.TEM","n.rep.plasmid.SHV","med.AR.len.plasmid.SHV","med.AR.len.SHV","med.rep.len.plasmid.SHV","med.rep.len.SHV","n.is.fam","max.is.len","IS1","IS110","IS200/IS605","IS21","IS256","IS3","IS4","IS481","IS630","IS66","IS91","ISAS1","ISL3","ISNCY","IS5","IS6","IS30","new","IS1380","IS1182","ISKRA4","n.is.tot","min_distance_is_gene","n.interrupted.genes","resistance"
"DA62886","circular",42.2844806888031,82629,4,"no",1,3,1,2,3854773,1313,3856086,4194350.5,1313,4195663.5,1,0,0,1,1,4,23,1,24,8,8,0,2,0,2,1,0,1,1,0,1,1,0,1,0,742.5,0,742.5,23,0,23,1311,0,1311,1311,0,1311,10036,0,10036,77353.5,0,77353.5,37574,0,37574,23,0,10036,0,10036,23,0,23,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,2222,2,4,6,12,4,27,5,1,2,6,5,20,3,6,0,0,0,0,0,0,0,103,24343.5,0,"HR"
"DA62888","circular",4.60779502730345,103314,0,"no",0,2,0,2,3751509,0,3751509,4102338,0,4102338,2,0,0,2,2,0,34,0,34,7,7,0,6,0,6,0,0,0,0,0,0,0,0,0,0,99,0,99,34.5,0,34.5,151,0,151,35,0,35,1723,0,1723,41186,0,41186,31250,0,31250,34,0,1723,0,1723,34.5,0,34.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1973,9,6,3,14,0,28,2,0,1,5,0,2,1,12,0,0,0,0,0,0,0,83,19550,0,"nonHR"
"DA62890","circular",6.92668332287448,118862,53,"no",5,2,0,2,481647,0,481647,844299.5,0,844299.5,0,0,0,0,0,0,36,0,36,6,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,83,0,83,32,0,32,156,0,156,35,0,35,41971.5,0,41971.5,41138,0,41138,31247,0,31247,36,0,41971.5,0,41971.5,32,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2555,3,6,14,2,0,24,2,0,2,0,0,6,0,17,0,0,0,0,0,0,0,76,47630,0,"nonHR"
"DA62892","circular",140.932276534625,109805,56,"no",6,4,0,4,1530667,0,1530667,3347632.5,0,3347632.5,3,0,0,3,3,0,47,0,47,24,24,0,12,0,12,8,0,8,8,0,8,5,0,5,0,1667.5,0,1667.5,52,0,52,2306,0,2306,2306,0,2306,44409,0,44409,160668.5,0,160668.5,6049,0,6049,35,0,98030,0,98030,50,0,50,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1828.5,0,1828.5,441,0,441,0,0,0,0,0,11,6794,6,3,10,8,0,116,61,0,0,0,10,0,14,12,1,40,0,0,0,0,0,281,1067.5,0,"nonHR"
"DA62894","circular",15.0681132362284,108024,50,"no",5,3,0,3,1382873,0,1382873,2159278,0,2159278,2,0,0,2,2,0,147,0,147,50,50,0,14,0,14,9,0,9,6,0,6,4,0,4,0,2907,0,2907,33,0,33,3150,0,3150,3150,0,3150,31021,0,31021,124786.5,0,124786.5,22790,0,22790,147,0,31021,0,31021,33,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4916,61,2,2,23,0,39,39,3,0,9,0,14,2,11,0,0,0,0,0,0,0,205,20319.5,0,"nonHR"
"DA62896","circular",9.41800039756627,108593,8,"no",1,3,0,3,1529974,0,1529974,3827565,0,3827565,2,0,0,2,2,0,118,0,118,26,26,0,2,0,2,0,0,0,0,0,0,0,0,0,0,344,0,344,26,0,26,144,0,144,38,0,38,543.5,0,543.5,159024.5,0,159024.5,87441,0,87441,118,0,543.5,0,543.5,26,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4683,1,0,12,7,1,12,2,0,0,3,0,0,0,14,1,0,1,0,0,0,0,54,49874,0,"nonHR"
"DA62898","circular",16.8144632270688,95619,9,"no",2,2,0,2,3617842,0,3617842,3971505.5,0,3971505.5,2,0,0,2,2,0,26,0,26,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,109,32,0,32,88,0,88,35,0,35,9989.5,0,9989.5,66634,0,66634,31236,0,31236,26,0,9989.5,0,9989.5,32,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2418,8,0,2,17,0,45,2,0,0,4,0,2,7,13,0,0,0,0,0,0,0,100,19550,0,"nonHR"
"DA62900","circular",93.3803311882944,108845,14,"no",3,2,2,0,0,776366,776366,0,1139400.5,1139400.5,0,2,2,2,2,2,0,21,21,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,26,26,0,86,86,0,35,35,0,31247,31247,0,41186,41186,0,31247,31247,0,21,0,31247,31247,0,26,26,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4256,5,8,14,21,0,16,18,0,2,3,0,6,1,13,0,0,0,0,0,0,0,107,17524.5,0,"nonHR"
"DA62902","circular",33.6002792708167,131757,70,"no",6,4,1,3,1485192,53426,1538618,3848244,53426,3901670,2,0,0,2,2,2,111,43,154,58,29,29,4,6,10,0,5,5,4,4,8,0,3,3,0,187,3908,314,31,35,33,1058,1201,1201,37,1201,1201,32087,11849,18587.5,127032,11855,60044.5,22790,8173,8173,111,0,32087,0,32087,31,0,31,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,11849,11849,0,35,35,0,0,0,0,0,15,4133,32,21,1,18,0,89,43,3,0,9,10,7,0,12,66,25,2,4,0,0,0,342,1803.5,0,"nonHR"
"DA62904","circular",19.7382704308137,109063,2,"no",1,1,0,1,4505036,0,4505036,4505036,0,4505036,0,0,0,0,0,0,10,0,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,101,26,0,26,36,0,36,26,0,26,24327,0,24327,45997,0,45997,42429,0,42429,10,0,24327,0,24327,26,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2329,0,3,9,7,0,7,1,1,0,7,0,4,2,14,1,0,1,0,0,0,0,57,0,0,"nonHR"
